Epoch,Macro_F1,Micro_F1
0,0.4382,0.5609
1,0.3564,0.3723
2,0.3424,0.3574
3,0.4346,0.5323
4,0.3727,0.5131
5,0.3558,0.5081
6,0.3546,0.4950
7,0.3837,0.5084
8,0.4275,0.5115
9,0.4710,0.5093
10,0.4536,0.4708
11,0.4159,0.4360
12,0.3953,0.4173
13,0.3921,0.4167
14,0.4051,0.4382
15,0.4162,0.4643
16,0.4126,0.4786
17,0.4191,0.5028
18,0.3923,0.5050
19,0.3234,0.5099
20,0.3200,0.5093
21,0.3182,0.5140
22,0.2943,0.5090
23,0.2947,0.5155
24,0.2918,0.5149
25,0.2681,0.5065
26,0.2710,0.5087
27,0.2698,0.5087
28,0.2668,0.5099
29,0.2661,0.5099
30,0.2626,0.5099
31,0.2500,0.5050
32,0.2477,0.5044
33,0.2535,0.5065
34,0.2457,0.5028
35,0.2446,0.5019
36,0.2528,0.5065
37,0.2461,0.5040
38,0.2491,0.5044
39,0.2479,0.5050
40,0.2487,0.5053
41,0.2495,0.5053
42,0.2568,0.5078
43,0.2519,0.5059
44,0.2566,0.5071
45,0.2748,0.5149
46,0.2806,0.5165
47,0.2805,0.5165
48,0.2891,0.5186
49,0.3072,0.5273
50,0.3029,0.5249
51,0.3273,0.5357
52,0.3424,0.5370
53,0.3714,0.5491
54,0.3762,0.5528
55,0.4011,0.5631
56,0.4413,0.5814
57,0.4673,0.5883
58,0.4901,0.6013
59,0.5103,0.6100
60,0.5282,0.6178
61,0.5603,0.6377
62,0.5792,0.6532
63,0.5861,0.6557
64,0.6390,0.6865
65,0.6666,0.7073
66,0.6821,0.7135
67,0.7053,0.7312
68,0.6982,0.7293
69,0.6990,0.7324
70,0.7438,0.7554
71,0.7622,0.7753
72,0.7141,0.7467
73,0.7521,0.7691
74,0.7611,0.7704
75,0.7611,0.7772
76,0.7549,0.7725
77,0.7694,0.7794
78,0.7766,0.7909
79,0.7707,0.7850
80,0.7799,0.7878
81,0.7673,0.7806
82,0.7852,0.7937
83,0.7850,0.7927
84,0.7767,0.7890
85,0.7787,0.7896
86,0.7912,0.8011
87,0.7721,0.7871
88,0.7830,0.7909
89,0.7733,0.7837
90,0.7862,0.7971
91,0.7823,0.7955
92,0.7871,0.7965
93,0.7782,0.7884
94,0.7667,0.7831
95,0.7841,0.7949
96,0.7919,0.8008
97,0.7803,0.7937
98,0.7966,0.8076
99,0.7981,0.8083
100,0.7898,0.7993
101,0.7912,0.8027
102,0.7940,0.8036
103,0.7890,0.7958
104,0.7889,0.8064
105,0.7876,0.8033
106,0.7936,0.8027
107,0.7932,0.8058
108,0.7537,0.7843
109,0.7947,0.8086
110,0.7945,0.8030
111,0.8078,0.8185
112,0.8030,0.8201
113,0.7970,0.8154
114,0.8045,0.8135
115,0.8005,0.8120
116,0.7909,0.8104
117,0.7975,0.8163
118,0.8050,0.8142
119,0.8104,0.8198
120,0.8098,0.8244
121,0.7986,0.8179
122,0.7995,0.8145
123,0.8138,0.8226
124,0.8190,0.8291
125,0.8002,0.8198
126,0.8148,0.8310
127,0.8079,0.8201
128,0.8001,0.8086
129,0.8067,0.8213
130,0.8038,0.8213
131,0.8107,0.8247
132,0.8268,0.8369
133,0.8082,0.8219
134,0.8153,0.8294
135,0.8034,0.8188
136,0.8161,0.8282
137,0.8295,0.8397
138,0.8202,0.8378
139,0.8326,0.8449
140,0.8373,0.8471
141,0.8377,0.8490
142,0.8334,0.8431
143,0.8231,0.8393
144,0.8190,0.8350
145,0.8302,0.8409
146,0.8387,0.8490
147,0.8167,0.8344
148,0.8185,0.8334
149,0.8307,0.8434
150,0.8454,0.8546
151,0.8268,0.8418
152,0.8353,0.8468
153,0.8317,0.8424
154,0.8262,0.8393
155,0.8424,0.8543
156,0.8287,0.8434
157,0.8294,0.8424
158,0.8329,0.8452
159,0.8382,0.8505
160,0.8398,0.8505
161,0.8371,0.8487
162,0.8189,0.8356
163,0.8373,0.8487
164,0.8355,0.8468
165,0.8393,0.8552
166,0.8417,0.8530
167,0.8429,0.8555
168,0.8408,0.8521
169,0.8449,0.8561
170,0.8422,0.8574
171,0.8394,0.8518
172,0.8414,0.8564
173,0.8427,0.8521
174,0.8434,0.8536
175,0.8374,0.8508
176,0.8468,0.8586
177,0.8334,0.8465
178,0.8393,0.8518
179,0.8413,0.8533
180,0.8522,0.8648
181,0.8369,0.8524
182,0.8555,0.8654
183,0.8442,0.8571
184,0.8460,0.8580
185,0.8567,0.8676
186,0.8603,0.8689
187,0.8414,0.8583
188,0.8522,0.8639
189,0.8555,0.8654
190,0.8519,0.8648
191,0.8498,0.8617
192,0.8529,0.8639
193,0.8599,0.8695
194,0.8402,0.8561
195,0.8490,0.8605
196,0.8517,0.8617
197,0.8519,0.8651
198,0.8550,0.8645
199,0.8559,0.8661
